query,metadata
"robotics, surgery","robotics, operation, surgery"
"robotics, surgery","robotics, operation, surgery"
"robotics, surgery","robotics, operation, surgery"
"robotics, surgery","robotics, operation, surgery"
"robotics, surgery","robotics, operation, surgery"
"robotics, surgery","robotics, operation, surgery"
"robotics, surgery","robotics, operation, surgery"
"robotics, surgery","robotics, operation, surgery"
"robotics, surgery","robotics, operation, surgery"
"robotics, surgery","robotics, operation, surgery"
